Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Position,Preferred,Height,Weight,AltPos,Age,Nation,League,Team
Rodrigo Pinho,70,60,75,60,68,25,61,ST,Left,"185cm / 6'1""",80kg / 176lb,,33,Brazil,Liga Portugal,Estrela Amadora
Rodrigo Piñeiro,71,89,62,64,73,46,64,LM,Right,"177cm / 5'10""",73kg / 161lb,LW,25,Uruguay,Primera División,Vélez Sarsfield
Rodrigo Ramallo,67,74,68,59,67,40,69,LM,Right,"178cm / 5'10""",70kg / 154lb,"LW, RM",33,Bolivia,Libertadores,The Strongest
Rodrigo Rey,75,73,73,70,76,50,75,GK,Right,"190cm / 6'3""",78kg / 172lb,,33,Argentina,Primera División,Independiente
Rodrigo Ribeiro,69,71,67,58,73,22,60,ST,Right,"185cm / 6'1""",72kg / 159lb,"CAM, LW",19,Portugal,Liga Portugal,Sporting CP
Rodrigo Rojas,68,69,66,69,69,65,74,CM,Right,"180cm / 5'11""",77kg / 170lb,"RM, CAM",36,Paraguay,Sudamericana,Sportivo Luqueño
Rodrigo Sandoval,56,59,38,49,48,54,65,CB,Right,"186cm / 6'1""",81kg / 179lb,LB,23,Chile,Libertadores,Cobresal
Rodrigo Saracho,67,69,65,57,68,29,70,GK,Right,"193cm / 6'4""",86kg / 190lb,,30,Argentina,Primera División,Dep. Riestra
Rodrigo Schlegel,64,48,32,39,40,65,77,CB,Right,"183cm / 6'0""",82kg / 181lb,,27,Argentina,MLS,Orlando City
Rodrigo Teliz,58,66,58,54,63,57,50,CM,Right,"165cm / 5'5""",55kg / 121lb,RM,19,Uruguay,Sudamericana,Racing Club
Rodrigo Ureña,71,58,60,61,64,70,70,CDM,Right,"179cm / 5'10""",79kg / 174lb,"CM, RB",31,Chile,Libertadores,Universitario
Rodrigo Villagra,75,70,48,68,73,73,74,CDM,Right,"178cm / 5'10""",77kg / 170lb,CM,23,Argentina,Libertadores,River Plate
Rodrigo Villalba,61,76,48,55,61,42,59,RM,Right,"173cm / 5'8""",70kg / 154lb,RW,18,Paraguay,Libertadores,Libertad
Rodrigo Zalazar,76,78,77,73,78,66,72,CM,Right,"178cm / 5'10""",78kg / 172lb,"CAM, CDM",25,Uruguay,Liga Portugal,SC Braga
Rodrigues,67,67,39,44,45,67,73,CB,Right,"188cm / 6'2""",79kg / 174lb,,26,Brazil,MLS,SJ Earthquakes
Rodrygo,86,89,81,79,88,31,64,RW,Right,"174cm / 5'9""",64kg / 141lb,"ST, RM",23,Brazil,LA LIGA,Real Madrid
Rody de Boer,66,69,63,61,68,36,62,GK,Right,"188cm / 6'2""",87kg / 192lb,,27,Netherlands,3F Superliga,AaB
Roger Fernandes,73,88,63,65,74,33,48,LM,Left,"170cm / 5'7""",63kg / 139lb,"RM, LW",18,Portugal,Liga Portugal,SC Braga
Roger Martí,73,72,73,62,73,42,70,ST,Right,"179cm / 5'10""",74kg / 163lb,,33,Spain,LALIGA HYPERMOTION,Cádiz CF
Roger Martínez,73,73,73,66,76,41,78,ST,Right,"180cm / 5'11""",89kg / 196lb,LM,30,Colombia,Sudamericana,Racing Club
Roger Rojas,55,64,31,34,47,55,53,LB,Right,"181cm / 5'11""",70kg / 154lb,,31,Paraguay,Sudamericana,Sportivo Luqueño
Rogério,74,75,53,68,76,70,59,LB,Left,"178cm / 5'10""",70kg / 154lb,,26,Brazil,Bundesliga,VfL Wolfsburg
Roh Hee Dong,48,48,50,53,50,25,43,GK,Right,"192cm / 6'4""",88kg / 194lb,,22,Korea Republic,K League 1,GwangJu FC
Roh Kyung Ho,60,67,59,57,65,48,52,ST,Right,"172cm / 5'8""",70kg / 154lb,"CM, CDM",24,Korea Republic,K League 1,Suwon FC
Rohit Danu,54,72,52,46,54,26,45,LW,Right,"173cm / 5'8""",59kg / 130lb,LM,22,India,ISL,Bengaluru FC
Rohit Kumar,54,43,44,49,55,50,65,CDM,Right,"183cm / 6'0""",75kg / 165lb,CM,27,India,ISL,Odisha FC
Rokas Pukštas,69,68,66,62,71,61,69,CM,Right,"181cm / 5'11""",75kg / 165lb,CAM,20,United States,Liga Hrvatska,Hajduk Split
Roko Baturina,65,66,67,49,60,21,69,ST,Left,"187cm / 6'2""",82kg / 181lb,,24,Croatia,LALIGA HYPERMOTION,Málaga CF
Roko Brajković,62,79,60,52,67,26,60,RM,Right,"176cm / 5'9""",68kg / 150lb,"LM, ST, RW",19,Croatia,Liga Hrvatska,Hajduk Split
Roko Vukušić,54,58,28,30,36,56,57,CB,Right,"188cm / 6'2""",77kg / 170lb,,20,Croatia,Serie BKT,Modena
Roko Šimić,68,64,68,62,69,30,76,ST,Right,"190cm / 6'3""",80kg / 176lb,,21,Croatia,1A Pro League,KV Kortrijk
Roland Niczuly,68,67,65,70,70,32,68,GK,Right,"181cm / 5'11""",76kg / 168lb,,28,Romania,SUPERLIGA,Sepsi OSK
Roland Sallai,77,74,71,71,79,38,70,RM,Right,"183cm / 6'0""",79kg / 174lb,"ST, CAM, RW",27,Hungary,Bundesliga,SC Freiburg
Rolando Mandragora,77,46,66,75,75,74,74,CDM,Left,"183cm / 6'0""",75kg / 165lb,CM,27,Italy,Serie A Enilive,Fiorentina
Romain Del Castillo,79,84,76,78,81,42,65,RW,Left,"172cm / 5'8""",65kg / 143lb,RM,28,France,Ligue 1 McDonald's,Stade Brestois 29
Romain Esse,64,73,53,59,68,47,56,RM,Left,"178cm / 5'10""",65kg / 143lb,"CAM, RW",19,England,EFL Championship,Millwall
Romain Faivre,77,71,73,76,80,62,65,RM,Left,"180cm / 5'11""",69kg / 152lb,"CAM, RW",26,France,Ligue 1 McDonald's,Stade Brestois 29
Romain Montiel,60,68,58,48,60,29,67,ST,Right,"186cm / 6'1""",80kg / 176lb,,29,France,Ligue 2 BKT,FC Martigues
Romain Perraud,74,69,72,73,74,71,71,LB,Left,"173cm / 5'8""",68kg / 150lb,,26,France,LA LIGA,Real Betis
Romain Thomas,70,32,36,51,44,71,69,CB,Left,"193cm / 6'4""",84kg / 185lb,,36,France,Ligue 2 BKT,SM Caen
Romaine Mundle,64,77,56,57,71,38,55,LM,Right,"177cm / 5'10""",61kg / 134lb,"RM, LW",21,England,EFL Championship,Sunderland
Romal Palmer,66,60,53,58,66,61,67,CM,Right,"181cm / 5'11""",70kg / 154lb,"CAM, CDM",25,England,SSE Airtricity PD,St. Pats
Roman Buess,63,75,63,60,61,42,71,ST,Left,"183cm / 6'0""",78kg / 172lb,,31,Switzerland,CSSL,FC Winterthur
Roman Burki,78,82,75,60,82,46,73,GK,Right,"187cm / 6'2""",85kg / 187lb,,33,Switzerland,MLS,St. Louis CITY SC
Roman Celentano,71,72,67,66,71,21,72,GK,Right,"192cm / 6'4""",80kg / 176lb,,24,United States,MLS,FC Cincinnati
Roman Kerschbaum,65,63,64,64,64,63,71,CDM,Right,"180cm / 5'11""",75kg / 165lb,"CM, CAM",30,Austria,Bundesliga,SK Rapid
Roman Květ,69,72,72,70,70,58,73,CM,Right,"187cm / 6'2""",84kg / 185lb,CDM,26,Czech Republic,1A Pro League,FCV Dender EH
Roman Macek,63,63,56,63,65,59,60,CM,Right,"188cm / 6'2""",75kg / 165lb,RM,27,Czech Republic,CSSL,FC Lugano
Roman Neustädter,68,32,53,63,64,68,72,CB,Right,"190cm / 6'3""",81kg / 179lb,CDM,36,Russia,1A Pro League,KVC Westerlo
Roman Yakuba,64,63,26,38,43,62,81,CB,Left,"191cm / 6'3""",85kg / 187lb,LB,23,Ukraine,PKO BP Ekstraklasa,Puszcza
Roman Yaremchuk,74,73,72,68,69,44,75,ST,Right,"193cm / 6'4""",83kg / 183lb,,28,Ukraine,Hellas Liga,Olympiacos FC
Romane Enguehard,73,68,66,71,75,69,63,RB,Right,"163cm / 5'4""",54kg / 119lb,LB,25,France,Arkema PL,Havre AC
Romane Salvador,71,76,67,75,73,47,69,GK,Left,"170cm / 5'7""",67kg / 148lb,,26,France,Liga F,RCD Espanyol
Romano Postema,67,79,67,52,64,29,60,ST,Right,"175cm / 5'9""",67kg / 148lb,,22,Netherlands,Eredivisie,FC Groningen
Romano Schmid,75,77,63,70,81,53,58,CAM,Right,"168cm / 5'6""",73kg / 161lb,"CM, ST",24,Austria,Bundesliga,SV Werder Bremen
Romario Benzar,63,68,54,59,59,59,60,RB,Right,"180cm / 5'11""",79kg / 174lb,RM,32,Romania,SUPERLIGA,FC Botoșani
Romario Hajrulla,62,69,61,56,61,37,66,ST,Right,"179cm / 5'10""",85kg / 187lb,CAM,25,Albania,3. Liga,Energie Cottbus
Romario Ibarra,66,80,62,62,67,39,65,LW,Right,"175cm / 5'9""",77kg / 170lb,"RW, LM",29,Ecuador,Libertadores,IDV
Romario Rösch,66,80,57,58,68,55,63,LM,Right,"182cm / 6'0""",75kg / 165lb,"RM, LW",25,Germany,Bundesliga 2,SSV Ulm 1846
Rome-Jayden Owusu-Oduro,69,69,65,64,72,32,69,GK,Right,"188cm / 6'2""",82kg / 181lb,,20,Netherlands,Eredivisie,AZ
Romelle Donovan,57,79,46,49,64,29,45,RM,Left,"171cm / 5'7""",67kg / 148lb,RW,17,England,EFL League One,Birmingham City
Romelu Lukaku,82,79,82,73,74,38,82,ST,Left,"191cm / 6'3""",94kg / 207lb,,31,Belgium,Serie A Enilive,SSC Napoli
Romeo Amane,64,80,53,61,70,57,67,CM,Right,"169cm / 5'7""",72kg / 159lb,,21,Cote d'Ivoire,Allsvenskan,BK Häcken
Romeo Benítez,69,85,59,62,72,33,58,LM,Right,"170cm / 5'7""",57kg / 126lb,LW,21,Paraguay,Primera División,Tigre
Romeo Giovannini,62,75,62,59,64,36,54,CAM,Right,"174cm / 5'9""",72kg / 159lb,ST,22,Italy,Serie BKT,Modena
Romeo Lavia,75,67,50,70,75,73,73,CDM,Right,"181cm / 5'11""",76kg / 168lb,CM,20,Belgium,Premier League,Chelsea
Romeo Vermant,66,78,67,55,63,19,63,ST,Right,"184cm / 6'0""",76kg / 168lb,,20,Belgium,1A Pro League,Club Brugge
Romeo Vucic,62,64,62,48,61,19,63,ST,Right,"188cm / 6'2""",80kg / 176lb,,21,Austria,Bundesliga,Grazer AK
Romero,66,87,57,60,69,34,42,LM,Left,"167cm / 5'6""",59kg / 130lb,"RM, CAM, LW",28,Spain,LALIGA HYPERMOTION,CD Tenerife
Rominigue Kouamé,73,68,56,69,73,70,79,CM,Left,"177cm / 5'10""",68kg / 150lb,CDM,27,Mali,LALIGA HYPERMOTION,Cádiz CF
Rommell Ibarra,65,70,55,61,63,63,63,CDM,Right,"177cm / 5'10""",70kg / 154lb,"CM, RB",24,Venezuela,Sudamericana,Dep. La Guaira
Romoney Crichlow,63,63,34,43,55,63,70,CB,Left,"184cm / 6'0""",72kg / 159lb,,25,England,EFL League One,Peterborough
Romy Baraniak,72,65,65,66,72,57,58,CM,Right,"169cm / 5'7""",60kg / 132lb,CAM,21,Germany,Schweizer Damen Liga,FC Zürich
Román Gómez,63,71,40,58,61,59,61,RB,Right,"180cm / 5'11""",72kg / 159lb,CB,20,Argentina,Libertadores,Estudiantes
Román Vega,68,71,31,60,65,63,67,LB,Left,"177cm / 5'10""",74kg / 163lb,,20,Argentina,Sudamericana,Argentinos Jrs.
Romário,65,45,60,65,74,46,67,CM,Right,"173cm / 5'8""",72kg / 159lb,CDM,39,Brazil,Allsvenskan,Kalmar FF
Romário Baldé,68,78,66,59,73,31,74,LM,Right,"180cm / 5'11""",79kg / 174lb,"ST, LW",27,Guinea-Bissau,CSL,Wuhan Three Towns
Romário Baró,70,71,66,69,72,56,60,CM,Right,"180cm / 5'11""",66kg / 146lb,RM,24,Portugal,CSSL,FC Basel 1893
Romée Leuchter,74,74,74,58,74,27,69,ST,Right,"174cm / 5'9""",60kg / 132lb,LW,23,Netherlands,Arkema PL,Paris SG
Roméo Beney,59,57,58,40,58,17,57,ST,Right,"187cm / 6'2""",80kg / 176lb,,19,Switzerland,CSSL,FC Basel 1893
Ron Schallenberg,70,60,49,59,64,69,73,CDM,Right,"185cm / 6'1""",75kg / 165lb,CB,25,Germany,Bundesliga 2,FC Schalke 04
Ron-Robert Zieler,73,71,69,69,74,48,75,GK,Right,"187cm / 6'2""",82kg / 181lb,,35,Germany,Bundesliga 2,Hannover 96
Ron-Thorben Hoffmann,71,64,71,68,74,25,74,GK,Right,"192cm / 6'4""",86kg / 190lb,,25,Germany,Bundesliga 2,FC Schalke 04
Ronal Huaccha,65,75,64,55,62,31,68,ST,Right,"172cm / 5'8""",71kg / 157lb,RW,30,Peru,Sudamericana,Sport Huancayo
Ronald,70,87,62,58,71,33,53,RM,Right,"177cm / 5'10""",69kg / 152lb,"RW, LW",23,Brazil,EFL Championship,Swansea City
Ronald Araujo,85,82,53,64,62,85,84,CB,Right,"188cm / 6'2""",79kg / 174lb,RB,25,Uruguay,LA LIGA,FC Barcelona
Ronald Bustos,62,74,53,55,58,56,66,RB,Right,"186cm / 6'1""",81kg / 179lb,RM,20,Bolivia,Libertadores,The Strongest
Ronald Donkor,58,63,35,56,65,52,54,CM,Left,"173cm / 5'8""",70kg / 154lb,CDM,19,Mali,MLS,Red Bulls
Ronald Hernández,64,82,33,52,61,59,65,RB,Right,"170cm / 5'7""",70kg / 154lb,RM,26,Venezuela,MLS,Atlanta United
Ronald Vega,61,63,24,32,36,62,66,CB,Left,"182cm / 6'0""",80kg / 176lb,,24,Peru,Sudamericana,ADT
Ronaldo Chacón,66,67,70,55,62,29,67,ST,Left,"183cm / 6'0""",84kg / 185lb,,26,Venezuela,Sudamericana,Dep. La Guaira
Ronaldo De Jesús,62,52,38,47,46,61,69,CB,Right,"192cm / 6'4""",87kg / 192lb,,23,Paraguay,Libertadores,Cerro Porteño
Ronaldo Deaconu,66,66,66,69,68,51,62,CM,Left,"182cm / 6'0""",75kg / 165lb,"CAM, RW",27,Romania,SUPERLIGA,FC Hermannstadt
Ronaldo Martínez,66,72,66,48,66,20,55,ST,Right,"174cm / 5'9""",71kg / 157lb,RM,28,Paraguay,Primera División,Platense
Ronaldo Tavares,68,77,66,46,57,26,78,ST,Right,"192cm / 6'4""",85kg / 187lb,,27,Portugal,K League 1,FC Seoul
Ronaldo Vieira,69,71,58,64,71,64,75,CDM,Right,"178cm / 5'10""",70kg / 154lb,CM,26,England,Serie BKT,Sampdoria
Ronan Boyce,61,65,48,55,57,57,65,RB,Right,"180cm / 5'11""",74kg / 163lb,,23,Republic of Ireland,SSE Airtricity PD,Derry City
Ronan Coughlan,60,71,59,53,60,24,65,ST,Right,"178cm / 5'10""",75kg / 165lb,LW,27,Republic of Ireland,EFL League Two,Fleetwood Town
Ronan Curtis,64,74,64,58,64,48,73,LM,Right,"182cm / 6'0""",77kg / 170lb,"ST, LW",28,Republic of Ireland,EFL League Two,Port Vale
Ronan Darcy,63,71,56,60,66,48,60,CAM,Right,"177cm / 5'10""",72kg / 159lb,"CM, RM",23,England,EFL League One,Crawley Town
Ronan Hale,62,72,62,54,63,26,60,ST,Right,"176cm / 5'9""",70kg / 154lb,"RM, RW",26,Republic of Ireland,Scottish Prem,Ross County
Ronan Maher,55,75,50,52,59,35,44,CAM,Left,"175cm / 5'9""",70kg / 154lb,,19,Republic of Ireland,EFL League Two,Walsall
Ronaël Pierre-Gabriel,72,74,48,61,69,72,74,RB,Right,"177cm / 5'10""",80kg / 176lb,"CB, LB",26,France,Liga Hrvatska,Dinamo Zagreb
Ronivaldo,68,72,71,54,66,22,65,ST,Right,"173cm / 5'8""",76kg / 168lb,,35,Brazil,Bundesliga,Blau-Weiss Linz
Ronnie Edwards,68,69,35,51,60,69,70,CB,Right,"180cm / 5'11""",76kg / 168lb,,21,England,Premier League,Southampton
Ronnie Sandford,53,54,52,52,54,25,53,GK,Left,"186cm / 6'1""",76kg / 168lb,,19,England,EFL League Two,MK Dons
Rony Jansson,53,60,23,43,46,54,55,CB,Right,"183cm / 6'0""",72kg / 159lb,CDM,20,Finland,Allsvenskan,Kalmar FF
Rony Lopes,74,73,72,73,76,30,56,RM,Left,"174cm / 5'9""",68kg / 150lb,"RW, ST",28,Portugal,Trendyol Super Lig,Alanyaspor
Rooney Troya,61,68,57,61,61,56,63,CDM,Right,"167cm / 5'6""",66kg / 146lb,RB,18,Ecuador,Sudamericana,U. Católica
Roony Bardghji,70,75,68,63,74,30,53,RW,Left,"173cm / 5'8""",67kg / 148lb,RM,18,Sweden,3F Superliga,F.C. København
Roos van der Veen,71,66,47,55,58,71,65,RB,Right,"181cm / 5'11""",64kg / 141lb,,22,Netherlands,Nederland Vrouwen Liga,Ajax
Roque Santa Cruz,69,31,74,59,62,36,64,ST,Right,"191cm / 6'3""",93kg / 205lb,,43,Paraguay,Libertadores,Libertad
Rory Feely,60,57,38,53,52,58,69,CB,Right,"188cm / 6'2""",76kg / 168lb,RB,27,Republic of Ireland,EFL League Two,Barrow
Rory Gaffney,60,48,61,54,56,38,67,ST,Right,"185cm / 6'1""",84kg / 185lb,,34,Republic of Ireland,SSE Airtricity PD,Shamrock Rovers
Rory MacLeod,50,70,49,38,52,19,34,ST,Left,"170cm / 5'7""",60kg / 132lb,,18,Scotland,Scottish Prem,Dundee United
Rory McKenzie,61,74,53,56,64,50,63,LM,Right,"176cm / 5'9""",75kg / 165lb,"CAM, CM, LW",30,Scotland,Scottish Prem,Kilmarnock
Ros,67,68,47,59,59,67,69,CB,Left,"188cm / 6'2""",76kg / 168lb,CDM,28,Spain,LALIGA HYPERMOTION,Albacete BP
Rosa Márquez,77,84,71,75,80,71,72,CM,Right,"158cm / 5'2""",46kg / 101lb,"RM, LM",23,Spain,Liga F,Real Betis
Rosa Otermín,78,78,65,74,73,75,76,LB,Left,"167cm / 5'6""",57kg / 126lb,,23,Spain,Liga F,Atletico de Madrid
Rosa van Gool,71,68,63,62,69,56,67,CM,Right,"162cm / 5'4""",56kg / 123lb,,20,Netherlands,Nederland Vrouwen Liga,Ajax
Rosaire Longelo,61,82,51,55,63,53,57,LB,Left,"184cm / 6'0""",72kg / 159lb,,24,England,EFL League Two,Swindon Town
Rose Lavaud,73,74,64,69,78,52,59,LM,Right,"158cm / 5'2""",55kg / 121lb,"RM, LW",32,France,Arkema PL,Dijon FCO
Rose Lavelle,87,86,79,84,87,45,63,CAM,Left,"163cm / 5'4""",56kg / 123lb,CM,29,United States,NWSL,NJ/NY Gotham
Roseline Éloissaint,68,70,67,67,74,41,59,ST,Right,"161cm / 5'3""",54kg / 119lb,CAM,25,Haiti,Arkema PL,FC Nantes
Rosemonde Kouassi,80,94,80,71,80,37,69,RM,Right,"164cm / 5'5""",54kg / 119lb,RW,22,Cote d'Ivoire,NWSL,Washington Spirit
Rosen Bozhinov,61,63,31,49,50,60,64,CB,Left,"193cm / 6'4""",81kg / 179lb,"LB, CDM",19,Bulgaria,1A Pro League,Royal Antwerp FC
Roshan Singh,59,66,50,55,59,52,60,LB,Left,"172cm / 5'8""",68kg / 150lb,RB,25,India,ISL,Bengaluru FC
Roshon van Eijma,63,74,30,36,39,63,65,CB,Right,"186cm / 6'1""",78kg / 172lb,,26,Curaçao,Eredivisie,RKC Waalwijk
Ross Barkley,78,53,75,78,77,63,74,CM,Right,"186cm / 6'1""",76kg / 168lb,CAM,30,England,Premier League,Aston Villa
Ross Callachan,63,56,63,61,63,62,72,CAM,Right,"178cm / 5'10""",70kg / 154lb,"CM, CDM",31,Scotland,Scottish Prem,Motherwell
Ross Docherty,60,56,48,52,56,60,59,CDM,Right,"177cm / 5'10""",70kg / 154lb,CM,31,Scotland,Scottish Prem,Dundee United
Ross Doohan,61,61,58,57,62,61,60,GK,Right,"186cm / 6'1""",75kg / 165lb,,26,Scotland,Scottish Prem,Aberdeen
Ross Graham,61,47,31,42,49,64,59,CB,Left,"187cm / 6'2""",70kg / 154lb,,23,Scotland,Scottish Prem,Dundee United
Ross Laidlaw,64,64,63,62,64,25,65,GK,Right,"201cm / 6'7""",85kg / 187lb,,32,Scotland,Scottish Prem,Ross County
Ross McCausland,67,80,57,62,69,27,40,RM,Right,"183cm / 6'0""",68kg / 150lb,RW,21,Northern Ireland,Scottish Prem,Rangers
Ross McCrorie,70,78,53,61,68,67,83,RB,Right,"187cm / 6'2""",80kg / 176lb,CB,26,Scotland,EFL Championship,Bristol City
Ross Millen,60,61,41,56,54,56,71,RB,Right,"188cm / 6'2""",75kg / 165lb,,29,Scotland,EFL League Two,Morecambe
Ross Munro,55,56,57,55,57,30,54,GK,Right,"182cm / 6'0""",83kg / 183lb,,24,Scotland,SSE Airtricity PD,Dundalk
Ross Sinclair,56,57,54,53,55,24,54,GK,Right,"197cm / 6'6""",75kg / 165lb,,23,Scotland,Scottish Prem,St. Johnstone
Ross Stewart,71,73,71,57,64,30,78,ST,Right,"188cm / 6'2""",81kg / 179lb,,28,Scotland,Premier League,Southampton
Ross Sykes,70,37,47,54,54,69,79,CB,Right,"196cm / 6'5""",73kg / 161lb,,25,England,1A Pro League,R. Union St.-G.
Ross Tierney,61,74,54,59,63,53,62,CAM,Right,"170cm / 5'7""",66kg / 146lb,CM,23,Republic of Ireland,SSE Airtricity PD,Bohemians
Rowan McDonald,58,64,43,51,56,55,65,CDM,Right,"180cm / 5'11""",70kg / 154lb,,22,England,SSE Airtricity PD,Waterford
Rowllin Borges,58,52,41,50,50,57,70,CDM,Right,"182cm / 6'0""",72kg / 159lb,CM,32,India,ISL,FC Goa
Roy Kortsmit,64,65,61,59,63,27,64,GK,Right,"191cm / 6'3""",73kg / 161lb,,32,Netherlands,Eredivisie,NAC Breda
Roy Krishna,69,87,67,63,70,46,80,ST,Right,"169cm / 5'7""",70kg / 154lb,RW,37,Fiji,ISL,Odisha FC
Roy Kuijpers,62,75,59,57,64,32,49,RM,Right,"175cm / 5'9""",66kg / 146lb,"LM, ST, RW",24,Netherlands,Eredivisie,NAC Breda
Royscer Colpa,66,68,52,55,58,66,72,CDM,Right,"181cm / 5'11""",72kg / 159lb,,29,Colombia,Sudamericana,Alianza FC
Ruan,66,92,31,60,67,55,66,RB,Right,"170cm / 5'7""",65kg / 143lb,RM,29,Brazil,MLS,FC Dallas
Ruan Yang,56,67,54,48,59,35,51,RM,Left,"176cm / 5'9""",68kg / 150lb,RW,30,China PR,CSL,SZ Peng City
Ruari Paton,61,73,61,37,60,27,70,ST,Right,"177cm / 5'10""",65kg / 143lb,,24,Republic of Ireland,EFL League Two,Port Vale
Ruben Aguilar,77,71,53,70,75,73,76,RB,Right,"172cm / 5'8""",69kg / 152lb,RM,31,France,Ligue 1 McDonald's,RC Lens
Ruben Alte,60,65,49,59,61,55,57,CM,Left,"177cm / 5'10""",72kg / 159lb,,24,Norway,Eliteserien,Kristiansund BK
Ruben Dias,88,67,39,70,69,89,87,CB,Right,"187cm / 6'2""",82kg / 181lb,,27,Portugal,Premier League,Manchester City
Ruben Gabrielsen,69,62,48,48,53,68,84,CB,Right,"186cm / 6'1""",87kg / 192lb,,32,Norway,Eliteserien,Lillestrøm SK
Ruben Garcia,78,76,76,79,78,45,52,RM,Left,"172cm / 5'8""",71kg / 157lb,"LM, RW",31,Spain,LA LIGA,CA Osasuna
Ruben Kluivert,64,71,31,44,52,65,63,CB,Right,"178cm / 5'10""",73kg / 161lb,,23,Netherlands,Liga Portugal,Casa Pia AC
Ruben Kristiansen,66,72,47,58,62,63,66,LB,Left,"183cm / 6'0""",74kg / 163lb,CB,36,Norway,Eliteserien,SK Brann
Ruben Loftus-Cheek,81,81,76,79,82,77,83,CM,Right,"191cm / 6'3""",88kg / 194lb,CAM,28,England,Serie A Enilive,AC Milan
Ruben Neves,84,57,75,86,77,77,77,CDM,Right,"180cm / 5'11""",83kg / 183lb,CM,27,Portugal,ROSHN Saudi League,Al Hilal
Ruben Providence,68,83,63,57,73,29,56,LM,Right,"178cm / 5'10""",66kg / 146lb,LW,23,France,Eredivisie,Almere City FC
Ruben Roosken,65,79,38,53,65,59,64,LB,Left,"183cm / 6'0""",70kg / 154lb,LM,24,Netherlands,Eredivisie,Heracles Almelo
Ruben van Bommel,69,85,67,59,71,25,62,LW,Right,"185cm / 6'1""",83kg / 183lb,LM,20,Netherlands,Eredivisie,AZ
Ruben Vargas,75,82,70,69,79,54,65,LM,Right,"177cm / 5'10""",70kg / 154lb,"CAM, RM, LW",26,Switzerland,Bundesliga,FC Augsburg
Ruben Yttergård Jenssen,67,55,59,66,65,61,74,CDM,Left,"173cm / 5'8""",71kg / 157lb,CM,36,Norway,Eliteserien,Tromsø IL
Rubert Quijada,68,63,33,55,50,69,71,CB,Left,"187cm / 6'2""",76kg / 168lb,LB,35,Venezuela,Libertadores,Caracas FC
Rubin Colwill,67,66,63,63,68,45,66,CAM,Right,"193cm / 6'4""",85kg / 187lb,"RM, LM",22,Wales,EFL Championship,Cardiff City
Rubin Seigers,68,66,25,57,51,69,67,CB,Right,"189cm / 6'2""",83kg / 183lb,,26,Belgium,1A Pro League,KVC Westerlo
Ruby Mace,64,33,40,54,53,64,68,CB,Right,"168cm / 5'6""",65kg / 143lb,CM,21,England,Barclays WSL,Leicester City
Rubén Alcaraz,74,51,71,76,71,73,81,CM,Right,"180cm / 5'11""",82kg / 181lb,CDM,33,Spain,LALIGA HYPERMOTION,Cádiz CF
Rubén Alves,69,69,44,50,60,68,74,CB,Left,"184cm / 6'0""",74kg / 163lb,,30,Spain,LALIGA HYPERMOTION,CD Tenerife
Rubén Bentancourt,70,75,72,54,63,33,68,ST,Right,"184cm / 6'0""",80kg / 176lb,,31,Uruguay,Libertadores,Nacional
Rubén Blanco,74,79,72,73,74,53,70,GK,Right,"188cm / 6'2""",70kg / 154lb,,29,Spain,Ligue 1 McDonald's,OM
Rubén Botta,74,81,72,74,76,40,69,CAM,Left,"177cm / 5'10""",65kg / 143lb,"RW, CM",34,Argentina,Libertadores,Talleres
Rubén Darío Ríos,67,65,60,65,66,60,60,CM,Right,"174cm / 5'9""",68kg / 150lb,"LM, RM",28,Argentina,Sudamericana,Sportivo Luqueño
Rubén Iranzo,63,53,44,55,50,64,64,CB,Right,"182cm / 6'0""",69kg / 152lb,RB,21,Spain,LA LIGA,Valencia CF
Rubén Lezcano,64,67,52,60,65,56,58,CM,Left,"175cm / 5'9""",71kg / 157lb,,20,Paraguay,Libertadores,Libertad
Rubén López,56,62,43,57,57,57,56,CM,Left,"175cm / 5'9""",70kg / 154lb,,20,Spain,LALIGA HYPERMOTION,RC Deportivo
Rubén Manjarrés,66,67,55,68,60,61,65,CM,Right,"181cm / 5'11""",75kg / 165lb,,24,Colombia,Sudamericana,Alianza FC
Rubén Peña,75,72,69,70,73,72,65,RB,Right,"170cm / 5'7""",65kg / 143lb,"RM, LB",33,Spain,LA LIGA,CA Osasuna
Rubén Pulido,65,65,37,52,55,64,69,CB,Right,"184cm / 6'0""",82kg / 181lb,,24,Spain,LALIGA HYPERMOTION,SD Huesca
Rubén Pérez,74,46,63,70,65,71,70,CDM,Right,"179cm / 5'10""",76kg / 168lb,CM,35,Spain,Hellas Liga,Panathinaikos
Rubén Sobrino,74,77,73,70,75,37,64,LM,Right,"185cm / 6'1""",73kg / 161lb,"RM, ST, LW",32,Spain,LALIGA HYPERMOTION,Cádiz CF
Rubén Sánchez,69,82,61,63,66,62,69,RB,Right,"185cm / 6'1""",73kg / 161lb,RM,23,Spain,LALIGA HYPERMOTION,Granada CF
Rubén Yáñez,71,70,69,64,75,44,69,GK,Right,"188cm / 6'2""",80kg / 176lb,,30,Spain,LALIGA HYPERMOTION,R. Sporting
Rudi Molotnikov,55,67,50,53,57,34,50,CAM,Right,"179cm / 5'10""",65kg / 143lb,"LM, RM",18,Scotland,Scottish Prem,Hibernian
Rudolf Ndualu,58,85,52,51,61,29,67,RW,Right,"181cm / 5'11""",80kg / 176lb,"LW, RM",25,Germany,3. Liga,Energie Cottbus
